ID,Segment ID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
317,69696,River Avenue,East 150 Street,East 151 Street,NB,01/20/2018,88,62,41,27,37,30,46,58,147,174,211,251,311,323,310,362,309,319,296,258,203,177,153,127
317,69696,River Avenue,East 150 Street,East 151 Street,SB,01/20/2018,50,37,25,15,21,30,50,78,99,115,146,174,216,186,205,237,240,237,247,211,175,142,104,99
318,70607,East 163 Street,EAGLE Avenue,CAULDWELL Avenue,EB,01/20/2018,274,220,158,139,153,120,168,275,356,439,461,480,507,570,616,605,600,589,617,528,501,446,437,347
318,70607,East 163 Street,EAGLE Avenue,CAULDWELL Avenue,WB,01/20/2018,243,180,152,138,164,119,153,194,276,350,368,420,436,523,536,544,556,546,522,516,439,466,384,331
319,78940,East 174 Street,Hoe Avenue,Vyse Avenue,EB,01/20/2018,97,57,38,45,35,63,73,119,196,265,322,346,369,395,394,363,347,360,283,287,221,235,152,175
319,78940,East 174 Street,Hoe Avenue,Vyse Avenue,WB,01/20/2018,140,84,64,56,38,44,50,77,145,202,279,331,366,325,324,363,426,351,318,305,239,210,173,170
320,69836,East 149 Street,Park Avenue,Morris Avenue,EB,01/20/2018,196,96,66,46,40,55,77,207,307,341,395,433,431,522,515,538,554,498,560,434,449,356,334,279
320,69836,East 149 Street,Park Avenue,Morris Avenue,WB,01/20/2018,249,216,165,162,160,127,196,238,368,404,442,491,495,572,535,563,713,582,536,522,442,398,399,388
321,111203,Exterior Street/135 Street,3 Avenue,East 138 Street,SB,01/20/2018,833,605,431,374,427,579,751,884,952,983,1017,1112,1171,1266,1455,1464,1454,1419,1358,1275,1166,1057,1032,1038
322,151663,Woodhaven Boulevard Main Road,97 Avenue,101 Avenue,NB,01/20/2018,488,325,246,219,266,255,359,480,667,797,940,998,1205,1230,1350,1351,1396,1241,1175,1225,1083,915,814,654
322,156005,Woodhaven Boulevard Main Road,97 Avenue,101 Avenue,SB,01/20/2018,503,369,247,229,212,227,331,404,555,744,807,932,1058,1168,1190,1233,1172,1281,1278,1141,938,839,731,677
322,151662,Woodhaven Boulevard Service Road,97 Avenue,101 Avenue,NB,01/20/2018,233,128,92,76,95,124,167,216,309,377,452,456,473,536,552,576,582,562,544,453,478,351,309,283
